key,asleep,awake,rested
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,,0.0,False
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,16.0,24.0,False
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,40.0,48.0,True
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,112.0,120.0,False
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,136.0,144.0,False
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,160.0,168.0,False
Adaptation → Sleep Deprivation: 64h → Recovery: 16h / 8h,184.0,192.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,,0.0,True
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,21.0,24.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,45.0,48.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,69.0,72.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,93.0,96.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,117.0,120.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,136.0,144.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,160.0,168.0,False
Chronic Sleep Restriction: 21h / 3h → Recovery: 16h / 8h,184.0,192.0,False
Control: 16h / 8h,,0.0,True
Control: 16h / 8h,14.9,23.9,False
Control: 16h / 8h,40.0,45.0,False
Control: 16h / 8h,45.4,46.8,False
Control: 16h / 8h,62.8,70.9,False
Control: 16h / 8h,86.8,95.5,False
Control: 16h / 8h,111.4,120.0,False

